,city,crimes,engineered_location,northeast_lat,northeast_long,per-capita_crime,population,southwest_lat,southwest_long,state,year
0,TUCSON,24.0,12712923.348617868,32.3201661,-110.708204,4.636722455453655e-05,517607.0,31.9916539,-111.059406,AZ,2002.0
1,COTTONWOOD,2.0,15110639.551539922,34.765032,-111.9487811,0.00020489703923778303,9761.0,34.6495469,-112.0529471,AZ,2002.0
2,YUMA,4.0,13955229.837349068,32.732294,-114.45913,6.474168069403081e-05,61784.0,32.4790669,-114.684986,AZ,2002.0
3,BISBEE,1.0,11925778.678362645,31.462218,-109.8674551,0.00015441630636195183,6476.0,31.377623,-109.953309,AZ,2002.0
4,CHANDLER,4.0,13861711.521568658,33.3618571,-111.755287,2.1299821613993983e-05,187795.0,33.2037779,-111.9724189,AZ,2002.0
5,GILBERT,1.0,13847258.517234175,33.3857919,-111.686071,8.571697967650412e-06,116663.0,33.2046378,-111.841854,AZ,2002.0
6,MESA,4.0,13924177.13379701,33.513376,-111.580636,9.488858893551609e-06,421547.0,33.2776239,-111.894881,AZ,2002.0
7,PHOENIX,21.0,14196597.356753627,33.92057,-111.926046,1.4947278812303461e-05,1404938.0,33.2902598,-112.324056,AZ,2002.0
8,KINGMAN,1.0,16134917.437008495,35.287331,-113.936148,4.685157421289355e-05,21344.0,35.1739229,-114.094733,AZ,2002.0
9,ALAMEDA,4.0,21313677.963429533,37.8016646,-122.2232768,5.3394559094428276e-05,74914.0,37.7071099,-122.3405153,CA,2002.0
10,BERKELEY,2.0,21452598.62368211,37.9066895,-122.2341961,1.8776169285942284e-05,106518.0,37.8356375,-122.3686793,CA,2002.0
11,HAYWARD,2.0,21086514.160757154,37.6899605,-121.9203974,1.3776571562400982e-05,145174.0,37.5462668,-122.2182267,CA,2002.0
12,OAKLAND,2.0,21302104.16472346,37.8853679,-122.1147882,4.829039914429413e-06,414161.0,37.6320672,-122.35582759999998,CA,2002.0
13,CHICO,4.0,23452068.166080978,39.816935,-121.7132931,6.435317019804688e-05,62157.0,39.6987579,-121.898508,CA,2002.0
14,SOUTH LAKE TAHOE,2.0,21807857.80556681,38.9640472,-119.931802,8.171269815329302e-05,24476.0,38.881414,-120.0252271,CA,2002.0
15,FRESNO,16.0,19418820.320273217,36.908905,-119.6546399,8.228124758941657e-05,194455.0,36.6621619,-119.934483,CA,2002.0
16,ARCATA,2.0,25674478.970157087,40.9104758,-123.987497,0.00011586142973004287,17262.0,40.780366,-124.118951,CA,2002.0
17,HANFORD,2.0,18882441.342408568,36.371886,-119.6008429,0.00013146650890685598,15213.0,36.26574,-119.691012,CA,2002.0
18,MONTEREY PARK,38.0,16179013.66662343,34.071675,-118.0934759,3.711615304748035e-05,1023813.0,34.027181,-118.169849,CA,2002.0
19,ARCADIA,2.0,16230871.033461574,34.1794529,-117.9914499,3.6360991927859794e-05,55004.0,34.087007,-118.0693881,CA,2002.0
20,AZUSA,4.0,16202489.212228173,34.168206,-117.881345,8.629058354007119e-05,46355.0,34.1067338,-117.943592,CA,2002.0
21,BEVERLY HILLS,8.0,16284100.015046062,34.112432,-118.3720269,0.00022840827980014276,35025.0,34.0526658,-118.4270409,CA,2002.0
22,COVINA,2.0,16147271.103926245,34.107035,-117.8405489,4.118785781951481e-05,48558.0,34.0679559,-117.927295,CA,2002.0
23,WEST HOLLYWOOD,26.0,16280352.914848804,34.098071000000004,-118.34338,0.0007021713298044723,37028.0,34.0763898,-118.395844,CA,2002.0
24,GLENDALE,2.0,16346967.080970202,34.2672319,-118.1820051,9.894328570863182e-06,202136.0,34.118761,-118.3078491,CA,2002.0
