,bias,center_lat,center_long,city,city_population,date,state
0,Anti-Male Homosexual,61.2180556,-149.90027780000003,TEMPE,156788.0,1996-11-07,AZ
1,Anti-Male Homosexual,64.7511111,-147.34944430000002,LAKE HAVASU CITY,34657.0,1996-02-06,AZ
2,Anti-Female Homosexual,31.085177500000004,-88.01333249999999,TUCSON,472385.0,1996-05-29,AZ
3,Anti-Male Homosexual,33.73066420000001,-87.2844473,PHOENIX,0.0,1996-06-19,AZ
4,Anti-Male Homosexual,30.820742,-88.07055559999999,BERKELEY,101250.0,1996-06-16,CA
5,Anti-Female Homosexual,33.2098407,-87.5691735,FREMONT,186186.0,1996-09-17,CA
6,Anti-Male Homosexual,34.7312005,-87.70253000000001,HAYWARD,117233.0,1996-01-20,CA
7,Anti-Male Homosexual,35.769799,-91.64097209999998,HAYWARD,117233.0,1996-08-14,CA
8,Anti-Male Homosexual,35.471472399999996,-93.46657309999999,OAKLAND,372145.0,1996-04-24,CA
9,Anti-Female Homosexual,35.0886963,-92.44210109999999,OAKLAND,372145.0,1996-08-16,CA
10,Anti-Male Homosexual,34.5442609,-91.96902840000001,OAKLAND,372145.0,1996-03-09,CA
11,Anti-Male Homosexual,36.401182500000004,-93.7379711,OAKLAND,372145.0,1996-03-12,CA
12,Anti-Female Homosexual,35.5942441,-92.2779324,OAKLAND,372145.0,1996-06-04,CA
13,Anti-Male Homosexual,36.082156,-94.1718542,OAKLAND,372145.0,1996-09-19,CA
14,Anti-Male Homosexual,36.2789578,-92.59710809999999,OAKLAND,372145.0,1996-10-12,CA
15,Anti-Male Homosexual,36.2297936,-93.1076765,BERKELEY,0.0,1996-06-01,CA
16,Anti-Female Homosexual,34.7809263,-91.5809651,BERKELEY,0.0,1996-06-28,CA
17,Anti-Female Homosexual,35.4914677,-92.03126,BERKELEY,0.0,1996-08-02,CA
18,Anti-Male Homosexual,34.5291253,-90.59002729999999,OROVILLE,104340.0,1996-01-26,CA
19,Anti-Male Homosexual,36.0503484,-90.9751205,MARTINEZ,165425.0,1996-04-08,CA
20,Anti-Male Homosexual,36.086187,-93.7413032,MARTINEZ,165425.0,1996-04-06,CA
21,Anti-Female Homosexual,36.25535429999999,-94.1307587,CONCORD,113479.0,1996-04-08,CA
22,Anti-Male Homosexual,35.0323119,-93.2232345,CONCORD,113479.0,1996-04-08,CA
23,Anti-Male Homosexual,36.0584021,-90.4973286,CONCORD,113479.0,1996-04-16,CA
24,Anti-Male Homosexual,36.371176299999995,-91.8226479,PLEASANT HILL,32084.0,1996-11-26,CA
